tx_date,file_date,last_name,first_name,order_type,ticker,asset_name,tx_amount,option_type,strike_price,expiry
07/26/2024,08/06/2024,Boozman,John,Sale (Partial),LRCX,Lam Research Corporation - Common Stock,"$1,001 - $15,000",,,
07/26/2024,08/06/2024,Boozman,John,Purchase,MSI,"Motorola Solutions, Inc. Common Stock","$1,001 - $15,000",,,
07/26/2024,08/06/2024,Boozman,John,Purchase,GOOGL,Alphabet Inc. - Class A Common Stock,"$1,001 - $15,000",,,
07/24/2024,07/29/2024,Britt,Katie,Sale (Full),ONEW,OneWater Marine Inc. - Class A Common Stock,"$1,001 - $15,000",,,
07/18/2024,08/06/2024,Boozman,John,Sale (Partial),MDY,SPDR MidCap Trust Series I,"$1,001 - $15,000",,,
07/18/2024,08/06/2024,Boozman,John,Purchase,VEA,Vanguard FTSE Developed Markets ETF,"$1,001 - $15,000",,,
07/17/2024,08/05/2024,Peters,Gary C,Sale (Full),OTIS,Otis Worldwide Corp,"$1,001 - $15,000",,,
07/17/2024,08/05/2024,Peters,Gary C,Sale (Full),--,CARR - Carrier Global Corp,"$1,001 - $15,000",,,
07/04/2024,07/11/2024,Boozman,John,Sale (Partial),IVV,iShares Core S&P 500 ETF,"$1,001 - $15,000",,,
06/27/2024,07/16/2024,Whitehouse,Sheldon,Purchase,GS,"Goldman Sachs Group, Inc. (The) Common Stock","$1,001 - $15,000",,,
06/27/2024,07/11/2024,Capito,Shelley M,Sale (Full),APD,Air Products and Chemicals,"$1,001 - $15,000",,,
06/26/2024,07/11/2024,Boozman,John,Purchase,JMBS,Janus Henderson Mortgage-Backed Securities ETF,"$1,001 - $15,000",,,
06/26/2024,07/11/2024,Boozman,John,Purchase,SCHP,Schwab U.S. TIPS ETF,"$1,001 - $15,000",,,
06/26/2024,07/11/2024,Boozman,John,Purchase,TLH,iShares 10-20 Year Treasury Bond ETF,"$1,001 - $15,000",,,
06/26/2024,07/11/2024,Boozman,John,Sale (Partial),IEF,iShares 7-10 Year Treasury Bond ETF,"$1,001 - $15,000",,,
06/26/2024,07/11/2024,Boozman,John,Sale (Partial),SHY,iShares 1-3 Year Treasury Bond ETF,"$1,001 - $15,000",,,
06/24/2024,07/11/2024,Boozman,John,Sale (Full),NMVZX,Nuance Mid Cap Value Fund Z Class,"$1,001 - $15,000",,,
06/24/2024,07/11/2024,Boozman,John,Purchase,DALCX,Dean Mid Cap Value Fund No-Load,"$1,001 - $15,000",,,
06/20/2024,07/11/2024,Boozman,John,Purchase,MSFT,Microsoft Corp,"$1,001 - $15,000",,,
06/20/2024,07/11/2024,Boozman,John,Sale (Full),CMCSA,Comcast Corporation - Class A Common Stock,"$1,001 - $15,000",,,
06/13/2024,07/12/2024,Mullin,Markwayne,Sale (Partial),IWB,Russell 1000 Ishares ETF,"$500,001 - $1,000,000",,,
06/13/2024,07/16/2024,Whitehouse,Sheldon,Purchase,HD,Home Depot,"$1,001 - $15,000",,,
06/13/2024,07/16/2024,Whitehouse,Sheldon,Purchase,MSFT,Microsoft Corp,"$1,001 - $15,000",,,
06/12/2024,07/12/2024,Mullin,Markwayne,Sale (Partial),IWB,Russell 1000 Ishares ETF,"$50,001 - $100,000",,,
06/12/2024,07/12/2024,Mullin,Markwayne,Purchase,PH,Parker-Hannifin Corporation Common Stock,"$15,001 - $50,000",,,
06/12/2024,07/12/2024,Mullin,Markwayne,Sale (Partial),CMCSA,Comcast Corporation - Class A Common Stock,"$15,001 - $50,000",,,
06/12/2024,07/12/2024,Mullin,Markwayne,Sale (Partial),NKE,"Nike, Inc. Common Stock","$15,001 - $50,000",,,
06/07/2024,06/07/2024,Mullin,Markwayne,Sale (Partial),--,Ishares TR Russell 1000 ETF,"$50,001 - $100,000",,,
06/04/2024,07/11/2024,Boozman,John,Sale (Partial),MDY,SPDR MidCap Trust Series I,"$1,001 - $15,000",,,
06/04/2024,06/13/2024,"McConnell, Jr.",A. Mitchell,Purchase,WFC,Wells Fargo & Company,"$1,001 - $15,000",,,
06/04/2024,07/11/2024,Boozman,John,Purchase,NMVZX,Nuance Mid Cap Value Fund Z Class,"$1,001 - $15,000",,,
06/04/2024,07/11/2024,Boozman,John,Purchase,SPY,S&P 500 SPDR,"$1,001 - $15,000",,,
06/04/2024,07/11/2024,Boozman,John,Purchase,GEM,Goldman Sachs ActiveBeta Emerging Markets Equity E,"$1,001 - $15,000",,,
06/04/2024,07/11/2024,Boozman,John,Sale (Partial),EFA,iShares MSCI EAFE ETF,"$15,001 - $50,000",,,
06/04/2024,07/11/2024,Boozman,John,Purchase,VEA,Vanguard FTSE Developed Markets ETF,"$15,001 - $50,000",,,
06/03/2024,06/10/2024,Hickenlooper,John W,Sale (Full),FWONK,Liberty Media Formula One Sr C,"$100,001 - $250,000",,,
06/03/2024,06/10/2024,Hickenlooper,John W,Purchase,FWONK,Liberty Media Formula One Sr C,"$100,001 - $250,000",,,
05/31/2024,06/05/2024,Boozman,John,Purchase,GIGB,Goldman Sachs Access Investment Grade Corporate Bo,"$1,001 - $15,000",,,
05/31/2024,06/05/2024,Boozman,John,Sale (Partial),IVW,iShares S&P 500 Growth ETF,"$1,001 - $15,000",,,
05/31/2024,06/05/2024,Boozman,John,Sale (Partial),EFA,iShares MSCI EAFE ETF,"$1,001 - $15,000",,,
05/22/2024,06/03/2024,Carper,Thomas R,Purchase,TGT,Target Corp,"$1,001 - $15,000",,,
05/20/2024,06/10/2024,Hickenlooper,John W,Sale (Full),FWONK,Liberty Media Formula One Sr C,"$250,001 - $500,000",,,
05/20/2024,06/10/2024,Hickenlooper,John W,Purchase,FWONK,Liberty Media Formula One Sr C,"$100,001 - $250,000",,,
05/16/2024,06/03/2024,Carper,Thomas R,Sale (Full),PRF,Invesco FTSE RAFI US 1000 ETF,"$1,001 - $15,000",,,
05/16/2024,06/03/2024,Carper,Thomas R,Purchase,VEA,Vanguard FTSE Developed Markets ETF,"$1,001 - $15,000",,,
05/16/2024,06/03/2024,Carper,Thomas R,Sale (Partial),FDRR,Fidelity Dividend ETF For Rising Rates,"$1,001 - $15,000",,,
05/16/2024,06/03/2024,Carper,Thomas R,Purchase,ICOW,Pacer Developed Markets International Cash,"$1,001 - $15,000",,,
05/16/2024,06/03/2024,Carper,Thomas R,Purchase,VIG,Vanguard Div Appreciation ETF,"$1,001 - $15,000",,,
05/16/2024,06/03/2024,Carper,Thomas R,Purchase,COWZ,Pacer US Cash Cows 100 Index,"$1,001 - $15,000",,,
05/16/2024,06/03/2024,Carper,Thomas R,Sale (Full),EFAD,Proshares MSCI EAFE Dividend Growers ETF,"$1,001 - $15,000",,,
05/15/2024,06/03/2024,Carper,Thomas R,Sale (Full),SMDV,ProShares Russell 2000 Dividend Growers ETF,"$1,001 - $15,000",,,
05/15/2024,06/03/2024,Carper,Thomas R,Purchase,CALF,Pacer US Small Cap Cash Cows 100 ETF,"$1,001 - $15,000",,,
05/14/2024,05/23/2024,Peters,Gary C,Sale (Full),CCL,Carnival Corp,"$1,001 - $15,000",,,
05/14/2024,05/23/2024,Peters,Gary C,Sale (Full),SLB,Schlumberger N.V.,"$1,001 - $15,000",,,
05/14/2024,06/03/2024,Carper,Thomas R,Purchase,SRVR,Pacer Benchmark Data & Infrastructure Real Estate,"$1,001 - $15,000",,,
05/14/2024,05/23/2024,Peters,Gary C,Sale (Full),SOLV,Solventum Corporation,"$1,001 - $15,000",,,
05/14/2024,06/03/2024,Carper,Thomas R,Sale (Full),MOO,VanEck Agribusiness ETF,"$1,001 - $15,000",,,
05/14/2024,05/23/2024,Peters,Gary C,Sale (Full),IFF,International Flavors & Fragrances,"$15,001 - $50,000",,,
05/13/2024,06/14/2024,Tuberville,Thomas H,Sale (Partial),CLF,Cleveland-Cliffs Inc,"$100,001 - $250,000",,,
05/13/2024,06/14/2024,Tuberville,Thomas H,Sale (Full),CLF,Cleveland-Cliffs Inc,"$100,001 - $250,000",,,
