tx_date,file_date,last_name,first_name,order_type,ticker,asset_name,tx_amount,option_type,strike_price,expiry
"
                                        06/27/2024
                                    ",07/16/2024,Whitehouse,Sheldon,Purchase,GS,"Goldman Sachs Group, Inc. (The) Common Stock","$1,001 - $15,000",,,
"
                                        06/13/2024
                                    ",07/16/2024,Whitehouse,Sheldon,Purchase,HD,Home Depot,"$1,001 - $15,000",,,
"
                                        06/13/2024
                                    ",07/16/2024,Whitehouse,Sheldon,Purchase,MSFT,Microsoft Corp,"$1,001 - $15,000",,,
"
                                        06/12/2024
                                    ",07/12/2024,Mullin,Markwayne,Sale (Partial),IWB,Russell 1000 Ishares ETF,"$50,001 - $100,000",,,
"
                                        06/12/2024
                                    ",07/12/2024,Mullin,Markwayne,Sale (Partial),CMCSA,Comcast Corporation - Class A Common Stock,"$15,001 - $50,000",,,
"
                                        06/12/2024
                                    ",07/12/2024,Mullin,Markwayne,Purchase,PH,Parker-Hannifin Corporation Common Stock,"$15,001 - $50,000",,,
"
                                        06/12/2024
                                    ",07/12/2024,Mullin,Markwayne,Sale (Partial),NKE,"Nike, Inc. Common Stock","$15,001 - $50,000",,,
"
                                        06/13/2024
                                    ",07/12/2024,Mullin,Markwayne,Sale (Partial),IWB,Russell 1000 Ishares ETF,"$500,001 - $1,000,000",,,
"
                                        06/27/2024
                                    ",07/11/2024,Capito,Shelley M,Sale (Full),APD,Air Products and Chemicals,"$1,001 - $15,000",,,
"
                                        06/04/2024
                                    ",07/11/2024,Boozman,John,Sale (Partial),MDY,SPDR MidCap Trust Series I,"$1,001 - $15,000",,,
"
                                        06/24/2024
                                    ",07/11/2024,Boozman,John,Sale (Full),NMVZX,Nuance Mid Cap Value Fund Z Class,"$1,001 - $15,000",,,
"
                                        07/04/2024
                                    ",07/11/2024,Boozman,John,Sale (Partial),IVV,iShares Core S&P 500 ETF,"$1,001 - $15,000",,,
"
                                        06/04/2024
                                    ",07/11/2024,Boozman,John,Sale (Partial),EFA,iShares MSCI EAFE ETF,"$15,001 - $50,000",,,
"
                                        06/26/2024
                                    ",07/11/2024,Boozman,John,Sale (Partial),IEF,iShares 7-10 Year Treasury Bond ETF,"$1,001 - $15,000",,,
"
                                        06/26/2024
                                    ",07/11/2024,Boozman,John,Sale (Partial),SHY,iShares 1-3 Year Treasury Bond ETF,"$1,001 - $15,000",,,
"
                                        06/20/2024
                                    ",07/11/2024,Boozman,John,Sale (Full),CMCSA,Comcast Corporation - Class A Common Stock,"$1,001 - $15,000",,,
"
                                        06/04/2024
                                    ",07/11/2024,Boozman,John,Purchase,VEA,Vanguard FTSE Developed Markets ETF,"$15,001 - $50,000",,,
"
                                        06/24/2024
                                    ",07/11/2024,Boozman,John,Purchase,DALCX,Dean Mid Cap Value Fund No-Load,"$1,001 - $15,000",,,
"
                                        06/04/2024
                                    ",07/11/2024,Boozman,John,Purchase,SPY,S&P 500 SPDR,"$1,001 - $15,000",,,
"
                                        06/26/2024
                                    ",07/11/2024,Boozman,John,Purchase,SCHP,Schwab U.S. TIPS ETF,"$1,001 - $15,000",,,
"
                                        06/20/2024
                                    ",07/11/2024,Boozman,John,Purchase,MSFT,Microsoft Corp,"$1,001 - $15,000",,,
"
                                        06/04/2024
                                    ",07/11/2024,Boozman,John,Purchase,NMVZX,Nuance Mid Cap Value Fund Z Class,"$1,001 - $15,000",,,
"
                                        06/26/2024
                                    ",07/11/2024,Boozman,John,Purchase,JMBS,Janus Henderson Mortgage-Backed Securities ETF,"$1,001 - $15,000",,,
"
                                        06/26/2024
                                    ",07/11/2024,Boozman,John,Purchase,TLH,iShares 10-20 Year Treasury Bond ETF,"$1,001 - $15,000",,,
"
                                        06/04/2024
                                    ",07/11/2024,Boozman,John,Purchase,GEM,Goldman Sachs ActiveBeta Emerging Markets Equity E,"$1,001 - $15,000",,,
"
                                        05/07/2024
                                    ",06/14/2024,Tuberville,Thomas H,Purchase,ARKK,Ark Innovation ETF,"$1,001 - $15,000",Call,51.00,12/20/2024
"
                                        05/10/2024
                                    ",06/14/2024,Tuberville,Thomas H,Purchase,ARKK,Ark Innovation ETF,"$1,001 - $15,000",Put,45.00,09/20/2024
"
                                        05/08/2024
                                    ",06/14/2024,Tuberville,Thomas H,Purchase,XBI,S&P Biotech SPDR,"$1,001 - $15,000",Call,100.00,10/18/2024
"
                                        05/08/2024
                                    ",06/14/2024,Tuberville,Thomas H,Purchase,XBI,S&P Biotech SPDR,"$1,001 - $15,000",Put,90.00,10/18/2024
"
                                        05/13/2024
                                    ",06/14/2024,Tuberville,Thomas H,Sale (Full),INTC,Intel Corp,"$100,001 - $250,000",,,
"
                                        05/13/2024
                                    ",06/14/2024,Tuberville,Thomas H,Sale (Partial),INTC,Intel Corp,"$100,001 - $250,000",,,
"
                                        05/13/2024
                                    ",06/14/2024,Tuberville,Thomas H,Sale (Full),CLF,Cleveland-Cliffs Inc,"$100,001 - $250,000",,,
"
                                        05/13/2024
                                    ",06/14/2024,Tuberville,Thomas H,Sale (Partial),CLF,Cleveland-Cliffs Inc,"$100,001 - $250,000",,,
"
                                        05/10/2024
                                    ",06/14/2024,Tuberville,Thomas H,Purchase,CLF,Cleveland-Cliffs Inc,"$1,001 - $15,000",Call,20.00,07/19/2024
"
                                        05/10/2024
                                    ",06/14/2024,Tuberville,Thomas H,Purchase,CLF,Cleveland-Cliffs Inc,"$1,001 - $15,000",Call,20.00,01/17/2025
"
                                        05/10/2024
                                    ",06/14/2024,Tuberville,Thomas H,Purchase,CLF,Cleveland-Cliffs Inc,"$1,001 - $15,000",Put,17.00,01/17/2025
"
                                        05/10/2024
                                    ",06/14/2024,Tuberville,Thomas H,Purchase,GILD,Gilead Sciences Inc,"$1,001 - $15,000",Put,70.00,11/15/2024
"
                                        05/10/2024
                                    ",06/14/2024,Tuberville,Thomas H,Purchase,GILD,Gilead Sciences Inc,"$1,001 - $15,000",Put,70.00,11/15/2024
"
                                        05/10/2024
                                    ",06/14/2024,Tuberville,Thomas H,Purchase,GILD,Gilead Sciences Inc,"$1,001 - $15,000",Put,70.00,11/15/2024
"
                                        05/10/2024
                                    ",06/14/2024,Tuberville,Thomas H,Sale (Full),PARA,Paramount Global Cl B,"$100,001 - $250,000",,,
"
                                        05/10/2024
                                    ",06/14/2024,Tuberville,Thomas H,Purchase,CLF,Cleveland-Cliffs Inc,"$1,001 - $15,000",Call,17.00,06/21/2024
"
                                        05/10/2024
                                    ",06/14/2024,Tuberville,Thomas H,Purchase,CLF,Cleveland-Cliffs Inc,"$1,001 - $15,000",Call,17.00,06/21/2024
"
                                        05/10/2024
                                    ",06/14/2024,Tuberville,Thomas H,Purchase,CLF,Cleveland-Cliffs Inc,"$1,001 - $15,000",Call,17.00,06/21/2024
"
                                        05/10/2024
                                    ",06/14/2024,Tuberville,Thomas H,Purchase,CLF,Cleveland-Cliffs Inc,"$1,001 - $15,000",Call,17.00,06/21/2024
"
                                        05/10/2024
                                    ",06/14/2024,Tuberville,Thomas H,Sale (Partial),INTC,Intel Corporation - Common Stock,"$100,001 - $250,000",,,
"
                                        05/10/2024
                                    ",06/14/2024,Tuberville,Thomas H,Sale (Partial),CLF,Cleveland-Cliffs Inc,"$1,001 - $15,000",,,
"
                                        05/10/2024
                                    ",06/14/2024,Tuberville,Thomas H,Sale (Partial),CLF,Cleveland-Cliffs Inc,"$15,001 - $50,000",,,
"
                                        05/10/2024
                                    ",06/14/2024,Tuberville,Thomas H,Sale (Partial),CLF,Cleveland-Cliffs Inc,"$50,001 - $100,000",,,
"
                                        05/10/2024
                                    ",06/14/2024,Tuberville,Thomas H,Sale (Partial),CLF,Cleveland-Cliffs Inc,"$50,001 - $100,000",,,
"
                                        05/10/2024
                                    ",06/14/2024,Tuberville,Thomas H,Sale (Partial),CLF,Cleveland-Cliffs Inc,"$100,001 - $250,000",,,
"
                                        05/09/2024
                                    ",06/14/2024,Tuberville,Thomas H,Purchase,KEY,Keycorp,"$1,001 - $15,000",Put,15.00,09/20/2024
"
                                        05/09/2024
                                    ",06/14/2024,Tuberville,Thomas H,Purchase,INTC,Intel Corporation - Common Stock,"$50,001 - $100,000",,,
"
                                        05/08/2024
                                    ",06/14/2024,Tuberville,Thomas H,Purchase,GOLD,Barrick Gold Corp,"$1,001 - $15,000",Put,17.00,01/17/2025
"
                                        05/08/2024
                                    ",06/14/2024,Tuberville,Thomas H,Purchase,GOLD,Barrick Gold Corp,"$1,001 - $15,000",Put,17.00,01/17/2025
"
                                        05/08/2024
                                    ",06/14/2024,Tuberville,Thomas H,Purchase,ADBE,Adobe Systems Inc,"$15,001 - $50,000",Put,500.00,12/20/2024
"
                                        05/08/2024
                                    ",06/14/2024,Tuberville,Thomas H,Sale (Full),SWKS,"Skyworks Solutions, Inc. - Common Stock","$1,001 - $15,000",,,
"
                                        05/08/2024
                                    ",06/14/2024,Tuberville,Thomas H,Purchase,INTC,Intel Corporation - Common Stock,"$100,001 - $250,000",,,
"
                                        05/08/2024
                                    ",06/14/2024,Tuberville,Thomas H,Sale (Full),GILD,"Gilead Sciences, Inc. - Common Stock","$1,001 - $15,000",,,
"
                                        05/07/2024
                                    ",06/14/2024,Tuberville,Thomas H,Purchase,FITB,Fifth Third Bancorp - Common Stock,"$1,001 - $15,000",Call,30.00,05/17/2024
"
                                        05/07/2024
                                    ",06/14/2024,Tuberville,Thomas H,Purchase,GOLD,Barrick Gold Corp,"$1,001 - $15,000",Call,20.00,01/17/2025
"
                                        05/07/2024
                                    ",06/14/2024,Tuberville,Thomas H,Purchase,CLF,Cleveland-Cliffs Inc,"$1,001 - $15,000",Call,20.00,06/21/2024
"
                                        05/07/2024
                                    ",06/14/2024,Tuberville,Thomas H,Purchase,CVX,Chevron Corporation Common Stock,"$1,001 - $15,000",Put,145.00,09/20/2024
"
                                        05/07/2024
                                    ",06/14/2024,Tuberville,Thomas H,Purchase,CLF,Cleveland-Cliffs Inc,"$1,001 - $15,000",Call,20.00,11/15/2024
"
                                        05/07/2024
                                    ",06/14/2024,Tuberville,Thomas H,Purchase,CCJ,Cameco Corporation Common Stock,"$1,001 - $15,000",Put,45.00,09/20/2024
"
                                        05/07/2024
                                    ",06/14/2024,Tuberville,Thomas H,Sale (Full),LSCC,Lattice Semiconductor Corporation - Common Stock,"$1,001 - $15,000",,,
"
                                        05/07/2024
                                    ",06/14/2024,Tuberville,Thomas H,Purchase,INTC,Intel Corporation - Common Stock,"$100,001 - $250,000",,,
"
                                        05/07/2024
                                    ",06/14/2024,Tuberville,Thomas H,Sale (Full),FITB,Fifth Third Bancorp - Common Stock,"$15,001 - $50,000",,,
"
                                        05/07/2024
                                    ",06/14/2024,Tuberville,Thomas H,Sale (Full),GOLD,Barrick Gold Corp,"$100,001 - $250,000",,,
"
                                        05/07/2024
                                    ",06/14/2024,Tuberville,Thomas H,Sale (Full),WMS,"Advanced Drainage Systems, Inc. Common Stock","$1,001 - $15,000",,,
"
                                        05/03/2024
                                    ",06/14/2024,Tuberville,Thomas H,Sale (Full),WAT,Waters Corporation Common Stock,"$1,001 - $15,000",,,
"
                                        05/03/2024
                                    ",06/14/2024,Tuberville,Thomas H,Sale (Full),V,Visa Inc.,"$1,001 - $15,000",,,
